a	ə
acute	əˈkjuːt
acutely	əˈkjuːtliː
acuteness	əˈkjuːtnəs
acyclovir	əˈsɪkloʊˌvɪr
ad	æd
ad's	ædz
ad-hoc	ˌædˈhɑːk
ad-lib	ˌædˈlɪb
ad-nauseam	ˌædˈnɔːziːɑːm
ad-nauseum	ˌædˈnɔːziːəm
ada	ˈeɪdə
ada's	ˈeɪdəz
adabel	ˈædəbel
adabelle	ˈædəbəl
adachi	ɑːˈdɑːkiː
adage	ˈædədʒ
adagio	əˈdɑːʒiːˌoʊ
adah	ˈædɑː
adair	əˈder
adaire	ɑːˈder
adak	əˈdæk
adalah	ɑːˈdɑːlə
adalia	ɑːˈdɑːliːə
adam	ˈædəm
adam's	ˈædəmz
adamant	ˈædəmənt
adamantly	ˈædəməntliː
adamcik	ˈɑːdəmtʃɪk
adamczak	ˈɑːdəmtʃæk
adamczyk	ˈɑːdəmtʃɪk
adame	ɑːˈdɑːmiː
adamec	əˈdɑːmɪk
adamek	əˈdɑːmek
adames	əˈdeɪmz
adami	ɑːˈdɑːmiː
adamik	əˈdɑːmɪk
adamina	ɑːdɑːˈmiːnə
adamkus	ˈædəmkəs
adamo	ɑːˈdɑːmoʊ
adamowicz	əˈdɑːməvɪtʃ
adams	ˈædəmz
adams's	ˈædəmzɪz
adamski	əˈdæmˌskiː
adamson	ˈædəmsən
adamstown	ˈædəmˌstaʊn
adan	ˈeɪdən
adapso	əˈdæpsoʊ
adapt	əˈdæpt
adaptability	əˌdæptəˈbɪlətiː
adaptable	əˈdæptəbəl
adaptaplex	əˈdæptəˌpleks
adaptation	ˌædəpˈteɪʃən
adaptations	ˌædæpˈteɪʃənz
adaptec	əˈdæpˌtek
adaptec's	əˈdæpˌteks
adapted	əˈdæptɪd
adapter	əˈdæptər
adapters	əˈdæptərz
adapting	əˈdæptɪŋ
adaptive	əˈdæptɪv
adaptor	əˈdæptər
adaptors	əˈdæptərz
adapts	əˈdæpts
adar	əˈdɑːr
adarand	ˈædəˌrænd
adare	əˈder
adas	ˈeɪdəz
aday	əˈdeɪ
adaza	əˈdɑːzə
adblock	ˈædˌblɑːk
adcock	ədˈkɑːk
adcox	ədˈkɑːks
add	æd
addair	əˈder
addams	ˈædəmz
added	ˈædəd
addendum	əˈdendəm
addendums	əˈdendəmz
addeo	ˈɑːdiːoʊ
adder	ˈædər
adderley	əˈdɜːrliː
addicks	ˈædɪks
addict	əˈdɪkt
addicted	əˈdɪktɪd
addicting	əˈdɪktɪŋ
addiction	əˈdɪkʃən
addictions	əˈdɪkʃənz
addictive	əˈdɪktɪv
addicts	əˈdɪkts
addidas	əˈdiːdəs
addidas's	əˈdiːdəsɪz
addidases	əˈdiːdəsɪz
addie	ˈædiː
adding	ˈædɪŋ
addington	ˈædɪŋtən
addis	ˈɑːdɪs
addis-ababa	ˌɑːdɪsəˈbɑːbɑː
addison	ˈædəsən
addison's	ˈædɪsənz
addition	əˈdɪʃən
additional	əˈdɪʃənəl
additionally	əˈdɪʃəˌnʌliː
additions	əˈdɪʃənz
additive	ˈædətɪv
additives	ˈædətɪvz
addle	ˈædəl
addled	ˈædəld
addleman	ˈædəlmən
address	ˈæˌdres
addressable	əˈdresəbəl
addressed	əˈdrest
addressee	ˌædreˈsiː
addresses	ˌæˈdresɪz
addressing	əˈdresɪŋ
adds	ædz
adduci	ɑːˈduːtʃiː
adduct	ˈædəkt
addwest	ˌæˈdwest
addy	ˈædiː
addyston	ˈædiːstən
ade	eɪd
adee	əˈdiː
adel	əˈdel
adela	əˈdelə
adelaar	ˈædəˌlɑːr
adelaide	ˈædəˌleɪd
adelanto	ædəˈlɑːntoʊ
adelbert	əˈdelbərt
adele	əˈdel
adele's	əˈdelz
adeline	ˈædəˌlaɪn
adelizzi	ˌædəˈliːziː
adell	əˈdel
adell's	əˈdelz
adelle	əˈdel
adelman	ˈædəlmən
adelmann	ˈædəlmən
adelpha	əˈdelfə
adelphi	əˈdelfiː
adelphia	əˈdelfiːə
adelphia's	əˈdelfiːəz
adelsberger	ˈædɪlzbərɡər
adelson	ˈædəlsən
adelstein	ˈædəlstaɪn
aden	ˈeɪdən
adena	ˈædɪnə
adenauer	ˈeɪdəˌnaʊr
adenine	ˈædəˌniːn
adenoid	ˈædəˌnɔɪd
adenoids	ˈædəˌnɔɪdz
adenoscan	əˈdenəˌskæn
adenosine	əˈdenəˌsiːn
adenovirus	əˈdenəˌvaɪrəs
adept	əˈdept
adequacy	ˈædəkwəsiː
adequate	ˈædəkwət
adequately	ˈædəkwətliː
ader	ˈeɪdər
aderhold	ˈædərhoʊld
aderholt	ˈædərhoʊlt
aderman	ˈædərmən
ades	eɪdz
adey	ˈeɪdiː
adger	ˈædʒər
adham	ˈædhæm
adhd	ˌeɪˌdiːˌeɪtʃˈdiː
adhere	ədˈhɪr
adhered	ædˈhɪrd
adherence	ədˈhɪrəns
adherent	ədˈhɪrənt
adherents	ædˈhɪrənts
adheres	ədˈhɪrz
adhering	ədˈhɪrɪŋ
adhesion	ædˈhiːʒən
adhesive	ædˈhiːsɪv
adhesives	ædˈhiːsɪvz
adia	ˈɑːdiːə
adid	əˈdɪd
adidas	əˈdiːdəs
adidas's	əˈdiːdəsɪz
adieu	əˈduː
adin	əˈdɪn
adina	ɑːˈdiːnə
adine	ɑːˈdiːniː
adinolfi	ɑːdiːˈnoʊlfiː
adios	ˌɑːdiːˈoʊs
adipose	ˈædəˌpoʊs
adirondack	ˌædəˈrɑːndæk
adisq	əˈdɪsk
adjacent	əˈdʒeɪsənt
adjani	ædˈdʒɑːniː
adjective	ˈædʒɪktɪv
adjectives	ˈædʒɪktɪvz
adjoin	əˈdʒɔɪn
adjoining	əˈdʒɔɪnɪŋ
adjoins	əˈdʒɔɪnz
adjourn	əˈdʒɜːrn
adjourned	əˈdʒɜːrnd
adjourning	əˈdʒɜːrnɪŋ
adjournment	əˈdʒɜːrnmənt
adjourns	əˈdʒɜːrnz
adjudge	əˈdʒʌdʒ
adjudged	əˈdʒʌdʒd
adjudicate	əˈdʒuːdɪˌkeɪt
adjudicated	əˈdʒuːdəˌkeɪtɪd
adjudicating	əˈdʒuːdɪˌkeɪtɪŋ
adjudication	əˌdʒuːdəˈkeɪʃən
adjunct	ˈæˌdʒʌŋkt
adjuncts	ˈæˌdʒʌŋkts
adjust	əˈdʒʌst
adjustable	əˈdʒʌstəbəl
adjustables	əˈdʒʌstəbəlz
adjusted	əˈdʒʌstɪd
adjuster	əˈdʒʌstər
adjusters	əˈdʒʌstərz
adjusting	əˈdʒʌstɪŋ
adjustment	əˈdʒʌstmənt
adjustments	əˈdʒʌstmənts
adjusts	əˈdʒʌsts
adjutant	ˈædʒətənt
adkins	ˈædkɪnz
adkinson	ˈædkɪnsən
adkison	ˈædkɪsən
adkisson	ˈædkɪsən
adl-tabataba	ˌɑːdəlˌtɑːbəˈtɑːbə
adl-tabatabai	ˌɑːdəlˌtɑːbəˌtʌˈbaɪ
adlai	ɑːdˈlɑːiː
adler	ˈædlər
adler's	ˈædlərz
adlers	ˈædlərz
adley	ˈædliː
adlon	ˈædlɑːn
adlong	ˈædlɔːŋ
adman	ˈædmən
admen	ˈædmən
admin	ˈædmɪn
administer	ədˈmɪnəstər
administered	ədˈmɪnəstərd
administering	ædˈmɪnɪˌstɜːrɪŋ
administers	ædˈmɪnɪstərz
administrate	ædˈmɪnɪˌstreɪt
administrating	ədˈmɪnəˌstreɪtɪŋ
administration	ædˌmɪnɪˈstreɪʃən
administration's	ædˌmɪnɪˈstreɪʃənz
administrations	ædˌmɪnɪˈstreɪʃənz
administrative	ədˈmɪnəˌstreɪtɪv
administratively	ædˌmɪnəˈstreɪtɪvliː
administrator	ədˈmɪnəˌstreɪtər
administrator's	ædˈmɪnɪˌstreɪtərz
administrators	ædˈmɪnɪˌstreɪtərz
admins	ədˈmɪnz
admira	ædˈmaɪrə
admira's	ædˈmaɪrəz
admirable	ˈædmərəbəl
admirably	ˈædmərəbliː
admiral	ˈædmərəl
admiral's	ˈædmərəlz
admirals	ˈædmərəlz
admiralty	ˈædmərəltiː
admiration	ˌædməˈreɪʃən
admirations	ˌædməˈreɪʃənz
admire	ædˈmaɪr
admired	ədˈmaɪərd
admirer	ædˈmaɪrər
admirers	ədˈmaɪrərz
admires	ædˈmaɪrz
admiring	ædˈmaɪrɪŋ
admiringly	ædˈmaɪrɪŋliː
admissibility	ədˌmɪsəˈbɪlətiː
admissible	ədˈmɪsəbəl
admission	ædˈmɪʃən
admissions	ædˈmɪʃənz
admit	ədˈmɪt
admits	ədˈmɪts
admittance	ədˈmɪtəns
admitted	ədˈmɪtɪd
admittedly	ædˈmɪtɪdliː
admitting	ædˈmɪtɪŋ
admonish	ædˈmɑːnɪʃ
admonished	ədˈmɑːnɪʃt
admonishes	ædˈmɑːnɪʃɪz
admonishing	ædˈmɑːnɪʃɪŋ
admonishment	ædˈmɑːnɪʃment
admonition	ˌædməˈnɪʃən
admonitions	ˌædməˈnɪʃənz
admonitory	ˌædˈmɔːnɪˌtɔːriː
adnan	ˈædnən
adney	ˈædniː
ado	əˈduː
adobe	əˈdoʊbiː
adobe's	əˈdoʊbiːz
adolescence	ˌædəˈlesəns
adolescent	ˌædəˈlesənt
adolescents	ˌædəˈlesənts
adolf	ˈeɪdɑːlf
adolf's	ˈeɪdɑːlfs
adolfo	əˈdɑːlˌfoʊ
adolph	ˈeɪdɔːlf
adolpha	ɑːˈdoʊlfə
adolphson	ˈædoʊlfsən
adolphus	əˈdɔːlfəs
adon	ɑːˈdɔːn
adonia	ɑːˈdoʊniːə
adonis	əˈdɑːnəs
adopt	əˈdɑːpt
adoptable	əˈdɑːptəbəl
adopted	əˈdɑːptɪd
adoptee	əˌdɑːpˈtiː
adoptees	əˌdɑːpˈtiːz
adopter	əˈdɑːptər
adopters	əˈdɑːptərz
adopting	əˈdɑːptɪŋ
adoption	əˈdɑːpʃən
adoptions	əˈdɑːpʃənz
adoptive	əˈdɑːptɪv
adopts	əˈdɑːpts
ador	ɑːˈdɔːr
adora	ɑːˈdɔːrə
adorabelle	ˈædərəbəl
adorable	əˈdɔːrəbəl
adoration	ˌædəˈreɪʃən
adore	əˈdɔːr
adored	əˈdɔːrd
adoree	ædəˈriː
adorees	ædəˈriːz
adores	əˈdɔːrz
adoring	əˈdɔːrɪŋ
adorn	əˈdɔːrn
adorna	ɑːˈdɔːrnə
adorned	əˈdɔːrnd
adorning	əˈdɔːrnɪŋ
adornment	əˈdɔːrnmənt
adorno	ɑːˈdɔːrnoʊ
adorns	əˈdɔːrnz
adra	ˈeɪdrə
adragna	ɑːˈdrɑːɡnə
adrda	ˈeɪdərdə
adrea	ˈɑːdriːə
adrenal	əˈdriːnəl
adrenalin	əˈdrenəlɪn
adrenaline	əˈdrenələn
adrenergic	ədreˈnerdʒɪk
adria	ˈɑːdriːə
adrian	ˈeɪdriːən
adriana	ˌeɪdriːˈænə
adriance	ɑːˈdriːəns
adriano	ɑːdriːˈɑːnoʊ
adriatic	ˌeɪdriːˈætɪk
adriel	əˈdriːl
adrienne	ɑːdriːˈen
adrift	əˈdrɪft
adroit	əˈdrɔɪt
adroitly	əˈdrɔɪtliː
ads	ædz
adsit	ˈædsɪt
adsl	ˌeɪˌdiːˌeˈsel
adsorption	ədˈsɔːrpʃən
adss	æds
adstar	ˈædstɑːr
adsteam	ˈædstiːm
adtec	ˈædˌtek
adulate	ˈædʒəˌleɪt
adulation	ˌædʒəˈleɪʃən
aduliadae	əˌduːliːˈɑːdeɪ
adult	əˈdʌlt
adulterate	əˈdʌltəˌreɪt
adulterated	əˈdʌltəˌreɪtɪd
adulterates	əˈdʌltəˌreɪts
adulteration	əˌdʌltəˈreɪʃən
adulterer	əˈdʌltərər
adulterers	əˈdʌltərərz
adulterous	əˈdʌltərəs
adultery	əˈdʌltəriː
adulthood	əˈdʌltˌhʊd
adults	əˈdʌlts
adusdur	ˈædəsdər
advacare	ˈædvəˌker
advalue	ˈædvəˌluː
advance	ədˈvæns
advance's	ədˈvænsəz
advanced	ədˈvænst
advancement	ədˈvænsmənt
advancements	ədˈvænsmənts
advancer	ədˈvænsər
advancers	ədˈvænsərz
advances	ədˈvænsəz
advancing	ədˈvænsɪŋ
advani	ædˈvɑːniː
advanta	ædˈvæntə
advanta's	ædˈvæntəz
advantage	ædˈvæntɪdʒ
advantaged	ædˈvæntɪdʒd
advantageous	ˌædvənˈteɪdʒəs
advantages	ædˈvæntɪdʒɪz
advantest	ædˈvæntəst
advection	ædˈvekʃən
advent	ˈædˌvent
adventist	ˈædˌventɪst
adventists	ˈædˌventɪsts
adventure	ædˈventʃər
adventurer	ædˈventʃərər
adventurers	ædˈventʃərərz
adventures	ædˈventʃərz
adventuresome	ædˈventʃərsəm
adventurism	ædˈventʃəˌrɪzəm
adventurous	ædˈventʃərəs
adverb	ˈædvərb
adverbial	ædˈvɜːrbiːəl
adverbs	ˈædvərbz
adversarial	ˌædvərˈseriːəl
adversaries	ˈædvərˌseriːz
adversary	ˈædvərˌseriː
adverse	ædˈvɜːrs
adversely	ædˈvɜːrsliː
adversity	ædˈvɜːrsɪˌtiː
advert	ˈædvərt
advertise	ˈædvərˌtaɪz
advertised	ˈædvərˌtaɪzd
advertisement	ædˈvɜːrtəzmənt
advertisements	ˈædvərˌtaɪzmənts
advertiser	ˈædvərˌtaɪzər
advertiser's	ˈædvərˌtaɪzərz
advertisers	ˈædvərˌtaɪzərz
advertises	ˈædvərˌtaɪzɪz
advertising	ˈædvərˌtaɪzɪŋ
advertising's	ˈædvərˌtaɪzɪŋz
advertorial	ˌædvərˈtɔːriːəl
advertorials	ˌædvərˈtɔːriːəlz
advest	ˈædvest
advice	ædˈvaɪs
advil	ˈædˌvɪl
advil's	ˈædˌvɪlz
advisability	ˌædˌvaɪzəˈbɪlɪtiː
advisable	ədˈvaɪzəbəl
advise	ædˈvaɪz
advised	ædˈvaɪzd
advisedly	ædˈvaɪzədliː
advisement	ədˈvaɪzmənt
adviser	ædˈvaɪzər
adviser's	ədˈvaɪzərz
advisers	ædˈvaɪzərz
advises	ædˈvaɪzɪz
advising	ædˈvaɪzɪŋ
advisor	ædˈvaɪzər
advisories	ədˈvaɪzəriːz
advisors	ædˈvaɪzərz
advisory	ædˈvaɪzəriː
advo	ˈædvoʊ
advocacy	ˈædvəkəsiː
advocate	ˈædvəkət
advocate's	ˈædvəkəts
advocated	ˈædvəˌkeɪtɪd
advocates	ˈædvəkəts
advocating	ˈædvəˌkeɪtɪŋ
advocation	ˌædvəˈkeɪʃən
adweek	ˈædwiːk
adwell	əˈdwel
adwords	ˈæˌdwɜːrdz
ady	ˈeɪdiː
adz	ædz
ae	eɪ
aegean	ɪˈdʒiːən
aegerter	ˈeɡərtər
aegis	ˈiːdʒəs
aegon	ˈeɪɡɑːn
aeltus	ˈæltəs
aeneas	ˈæniːəs
aeneid	əˈniːɪd
aeolus	ˈeoʊlʊs
aequitron	ˈeɪkwɪtrɑːn
aer	er
aerial	ˈeriːəl
aerials	ˈeriːəlz
aerie	ˈeriː
aerien	ˈeriːən
aeriens	ˈeriːənz
aeritalia	ˌerɪˈtæljə
aero	ˈeroʊ
aerobatic	ˌerəˈbætɪk
aerobatics	ˌerəˈbætɪks
aerobic	eˈroʊbɪk
aerobically	eˈroʊbɪkliː
aerobics	əˈroʊbɪks
aerodrome	ˈerəˌdroʊm
aerodromes	ˈerəˌdroʊmz
aerodynamic	ˌeroʊdaɪˈnæmɪk
aerodynamically	ˌeroʊdaɪˈnæmɪkliː
aerodynamicist	ˌeroʊdaɪˈnæmɪsɪst
aerodynamicists	ˌeroʊdaɪˈnæmɪsɪsts
aerodynamics	ˌeroʊdaɪˈnæmɪks
aerodyne	ˈerəˌdaɪn
aerodyne's	ˈerəˌdaɪnz
aeroflot	ˈeroʊˌflɑːt
aeroflot's	ˈeroʊˌflɑːts
aerogenosa	ˈerədʒəˌnoʊsə
aerojet	ˈeroʊˌdʒet
aerojets	ˈeroʊˌdʒets
aerolift	ˈeroʊˌlɪft
aerolifts	ˈeroʊˌlɪfts
aerolineas	ˌeroʊˈlɪniːəs
aeromar	ˈerəmɑːr
aeromexico	ˌeroʊˈmeksɪˌkoʊ
aeromexico's	ˌeroʊˈmeksɪˌkoʊz
aeronautic	ˌeroʊˈnɑːtək
aeronautical	ˌeroʊˈnɑːtəkəl
aeronauticas	ˌeroʊˈnɔːtɪkəs
aeronautics	ˌerəˈnɔːtɪks
aeroperu	ˌeroʊpeɪˈruː
aeroperu's	ˌeroʊpeɪˈruːz
aeroquip	ˈerəˌkwɪp
aeroscience	ˌeroʊˈsaɪəs
aerosmith	ˈeroʊˌsmɪθ
aerosmith's	ˈeroʊˌsmɪθs
aerosol	ˈerəˌsɑːl
aerosols	ˈerəˌsɑːlz
aerospace	ˈeroʊˌspeɪs
aerospace's	ˈeroʊˌspeɪsɪz
aerospatiale	ˌeroʊˌspɑːsiːˈɑːl
aerospatiale's	ˌeroʊˌspɑːsiːˈɑːlz
aerostar	ˈeroʊˌstɑːr
aerostar's	ˈeroʊˌstɑːrz
aerostars	ˈeroʊˌstɑːrz
aerostat	ˈeroʊˌstæt
aerostat's	ˈeroʊˌstæts
aerostats	ˈeroʊˌstæts
aerotech	ˈeroʊˌtek
aerovias	eroʊˈviːəz
aerts	erts
aeschelus	ˈeskələs
aeschliman	ˈeʃliːmən
aesop	ˈiːˌsɑːp
aesop's	ˈiːˌsɑːps
aesthenopia	æsθəˈnɔːpjə
aesthete	ˈesθiːt
aesthete's	ˈesθiːts
aesthetes	ˈesθiːts
aesthetic	esˈθetɪk
aesthetically	esˈθetɪkliː
aesthetics	esˈθetɪks
aetna	ˈetnə
aetna's	ˈetnəz
afanasyev	ˌæfəˈneɪsiːev
afar	əˈfɑːr
affable	ˈæfəbəl
affably	ˈæfəbliː
affair	əˈfer
affair's	əˈferz
affairs	əˈferz
affect	əˈfekt
affectation	ˌæfekˈteɪʃən
affected	əˈfektɪd
affecting	əˈfektɪŋ
affection	əˈfekʃən
affectionate	əˈfekʃənət
affectionately	əˈfekʃənətliː
affections	əˈfekʃənz
affective	əˈfektɪv
affectively	əˈfektɪvliː
affects	əˈfekts
affeldt	ˈæfɪlt
afferent	ˈæfərənt
affiant	ˈæfiːənt
affidavit	ˌæfəˈdeɪvət
affidavits	ˌæfɪˈdeɪvɪts
affiliate	əˈfɪliːˌeɪt
affiliate's	əˈfɪliːˌeɪts
affiliated	əˈfɪliːˌeɪtɪd
affiliated's	əˈfɪliːˌeɪtɪdz
affiliates	əˈfɪliːəts
affiliating	əˈfɪliːˌeɪtɪŋ
affiliation	əˌfɪliːˈeɪʃən
affiliations	əˌfɪliːˈeɪʃənz
affine	əˈfaɪn
affined	əˈfaɪnd
affines	əˈfaɪnz
affining	əˈfaɪnɪŋ
affinities	əˈfɪnətiːz
affinity	əˈfɪnətiː
affirm	əˈfɜːrm
affirmation	ˌæfərˈmeɪʃən
affirmations	ˌæfərˈmeɪʃənz
affirmative	əˈfɜːrmətɪv
affirmatively	əˈfɜːrmətɪvliː
affirmed	əˈfɜːrmd
affirming	əˈfɜːrmɪŋ
affirms	əˈfɜːrmz
affix	ˈæfɪks
affixed	əˈfɪkst
affixes	ˈæfɪksɪz
affixing	əˈfɪksɪŋ
affleck	ˈæflɪk
afflerbach	ˈæflərˌbɑːk
afflict	əˈflɪkt
afflicted	əˈflɪktɪd
afflicting	əˈflɪktɪŋ
affliction	əˈflɪkʃən
afflictions	əˈflɪkʃənz
afflicts	əˈflɪkts
afflik	ˌæˈflɪk
affluence	ˈæfluːəns
affluent	ˈæfluːənt
affolter	ˈæfoʊltər
afford	əˈfɔːrd
affordability	əˌfɔːrdəˈbɪlətiː
affordable	əˈfɔːrdəbəl
affordably	əˈfɔːrdəbliː
afforded	əˈfɔːrdəd
affording	əˈfɔːrdɪŋ
affords	əˈfɔːrdz
affricate	ˈæfrəkət
affricates	ˈæfrəkəts
affrication	ˌæfrəˈkeɪʃən
affront	əˈfrʌnt
affronted	əˈfrʌntɪd
affronting	əˈfrʌntɪŋ
affronts	əˈfrʌnts
affymax	ˈæfiːˌmæks
afghan	ˈæfˌɡæn
afghani	æfˈɡɑːniː
afghani's	æfˈɡæniːz
afghanis	æfˈɡæniːz
afghanistan	æfˈɡænəˌstæn
afghanistan's	æfˈɡænəˌstænz
afghanistans	æfˈɡænəˌstænz
afghans	ˈæfˌɡænz
afheldt	ˈæˌfelt
aficionado	əˌfiːʃjəˈnɑːˌdoʊ
aficionados	əˌfɪʃəˈnɑːdoʊz
afield	əˈfiːld
afire	əˈfaɪr
afl	ˌeɪˌeˈfel
aflame	əˈfleɪm
aflatoxin	ˌæfləˈtɑːksɪn
afloat	əˈfloʊt
aflutter	əˈflʌtər
afmed	ˈæfmed
afonso	əˈfɑːnsoʊ
afoot	əˈfʊt
aforementioned	əˈfɔːrˌmenʃənd
aforesaid	əˈfɔːrˌsed
aforethought	əˈfɔːrˌθɑːt
afoul	əˈfaʊl
afraid	əˈfreɪd
afresh	əˈfreʃ
africa	ˈæfrəkɑː
africa's	ˈæfrəkəz
african	ˈæfrəkən
african-american	ˌæfrəkənəˈmerəkən
african-americans	ˌæfrɪkənəˈmerɪkənz
africanist	ˈæfrɪkənɪst
africanist's	ˈæfrɪkɑːnɪsts
africanists	ˈæfrɪkɑːnɪsts
africanize	ˈæfrəkəˌnaɪz
africanized	ˈæfrəkəˌnaɪzd
africans	ˈæfrəkənz
afridi	əˈfriːdiː
afrikaans	ˌæfrəˈkɑːnz
afrikaner	ˌæfrəˈkɑːnər
afrikanerdom	ˌæfrəˈkɑːnərdəm
afrikaners	ˌæfrɪˈkɑːnərz
afro	ˈæfroʊ
afroamerican	ˌæfroʊəˈmerəkən
afroamericans	ˌæfroʊəˈmerəkənz
afrocentric	ˌæfroʊˈsentrɪk
afsane	ɑːfˈsɑːˌneɪ
afsane's	ɑːfˈsɑːˌneɪz
afshar	ˈæfʃər
afshar's	ˈæfʃərz
aft	æft
after	ˈæftər
after-room	ˈæftərˌruːm
afterall	ˈæftəˌrɑːl
afterburner	ˈæftərˌbɜːrnər
afterburners	ˈæftərˌbɜːrnərz
aftereffect	ˈæftərəˌfekt
aftereffects	ˈæftərəˌfekts
afterglow	ˈæftərˌɡloʊ
afterglows	ˈæftərˌɡloʊz
afterhours	ˈæftərˌhaʊərz
afterimage	ˈæftəˌrɪmɪdʒ
afterimages	ˈæftəˌrɪmɪdʒəz
afterlife	ˈæftərˌlaɪf
afterlives	ˈæftərˌlaɪvz
aftermarket	ˈæftərˌmɑːrkɪt
aftermarkets	ˈæftərˌmɑːrkɪts
aftermath	ˈæftərˌmæθ
aftermaths	ˈæftərˌmæθs
afternoon	ˌæftərˈnuːn
afternoon's	ˌæftərˈnuːnz
afternoons	ˌæftərˈnuːnz
aftershave	ˌæftərˈʃeɪv
aftershaves	ˌæftərˈʃeɪvz
aftershock	ˈæftərˌʃɑːk
aftershocks	ˈæftərˌʃɑːks
aftertaste	ˈæftərˌteɪst
aftertastes	ˈæftərˌteɪsts
aftertax	ˈæftərˌtæks
afterthought	ˈæftərˌθɑːt
afterthoughts	ˈæftərˌθɑːts
afterward	ˈæftərwərd
afterwards	ˈæftərwərdz
afula	əˈfuːlə
afula's	əˈfuːləz
ag	æɡ
ag's	æɡz
aga	ˈɑːɡə
agache	ˈæɡætʃ
agache's	ˈæɡætʃəz
agaches	ˈæɡætʃəz
again	əˈɡen
against	əˈɡenst
agamemnon	ˌæɡəˈmemˌnɑːn
agamemnon's	ˌæɡəˈmemˌnɑːnz
agan	ˈeɪɡən
agana	əˈɡɑːnə
aganbegyan	ˌæɡənˈbeɡjən
agans	ˈɑːɡɑːnz
agape	əˈɡeɪp
agar	ˈeɪɡər
agard	ˈæɡərd
agarwal	ˈɑːɡɑːrwɑːl
agasp	əˈɡæsp
agassi	ˈæɡəsiː
agassiz	əˈɡæsɪz
agate	ˈæɡət
agates	ˈæɡəts
agatha	ˈæɡəθə
agawam	ˈæɡəˌwɑːm
agco	ˈæɡˌkoʊ
age	eɪdʒ
age's	ˈeɪdʒɪz
aged	eɪdʒd
agee	ˌeɪˈdʒiː
agee's	ˈeɪdʒiːz
ageless	ˈeɪdʒləs
agematsu	ˌæɡəˈmætsuː
agence	ˈædʒəns
agencies	ˈeɪdʒənsiːz
agency	ˈeɪdʒənsiː
agency's	ˈeɪdʒənsiːz
agenda	əˈdʒendə
agendas	əˈdʒendəz
agent	ˈeɪdʒənt
agent's	ˈeɪdʒənts
agents	ˈeɪdʒənts
ager	ˈeɪdʒər
ageratum	əˈdʒerətəm
ageratums	əˈdʒerətəmz
agers	ˈeɪdʒərz
agerton	ˈeɪɡərtən
ages	ˈeɪdʒəz
agfa	ˈæɡfə
aggarwal	əˈɡɑːrwəl
aggie	ˈæɡiː
aggies	ˈæɡiːz
agglomerate	əˈɡlɑːməˌreɪt
agglomeration	əˌɡlɑːməˈreɪʃən
agglutinate	əˈɡluːtɪˌneɪt
aggrandize	əˈɡrænˌdaɪz
aggrandizement	ˈæɡrənˌdaɪzmənt
aggrandizing	ˈæɡrənˌdaɪzɪŋ
aggravate	ˈæɡrəˌveɪt
aggravated	ˈæɡrəˌveɪtɪd
aggravates	ˈæɡrəˌveɪts
aggravating	ˈæɡrəˌveɪtɪŋ
aggravation	ˌæɡrəˈveɪʃən
aggregate	ˈæɡrəɡət
aggregated	ˈæɡrəˌɡeɪtɪd
aggregates	ˈæɡrəɡɪts
aggregation	ˌæɡrəˈɡeɪʃən
aggress	əˈɡres
aggression	əˈɡreʃən
aggressions	əˈɡreʃənz
aggressive	əˈɡresɪv
aggressively	əˈɡresɪvliː
aggressiveness	əˈɡresɪvnəs
aggressivity	əɡreˈsɪvɪtiː
aggressor	əˈɡresər
aggressors	əˈɡresərz
aggrey	æˈɡreɪ
aggrieve	əˈɡriːv
aggrieved	əˈɡriːvd
aggy	ˈæɡiː
aghast	əˈɡæst
aghazadeh	ˌæɡəˈzɑːˌde
agie	ˈæɡiː
agildo	əˈɡɪldoʊ
agile	ˈædʒəl
agilis	əˈdʒɪləs
agility	əˈdʒɪlətiː
agin	ɑːˈdʒiːn
agincourt	ˈædʒənˌkɔːrt
aging	ˈeɪdʒɪŋ
agins	ˈeɪɡɪnz
agip	ˈeɪɡɪp
agitate	ˈædʒəˌteɪt
agitated	ˈædʒəˌteɪtɪd
agitating	ˈædʒəˌteɪtɪŋ
agitation	ˌædʒəˈteɪʃən
agitator	ˈædʒəˌteɪtər
agitators	ˈædʒɪˌteɪtərz
agitprop	ˈædʒətˌprɔːp
agius	ˈeɪdʒiːɪs
agleam	əˈɡliːm
agler	ˈæɡlər
aglitter	əˈɡlɪtər
aglo	əˈɡloʊ
aglow	əˈɡloʊ
agna	ˈæɡnɑː
agne	ˈæɡnɪ
agnella	ˌæɡˈnelɑː
agnelli	ˈæɡˌneliː
agnelli's	ˈæɡˌneliːz
agnellis	ˈæɡˌneliːz
agnello	ˌæɡˈneloʊ
agner	ˈæɡnər
agnes	ˈæɡnɪs
agneta	ɑːɡˈnetə
agnew	ˈæɡnuː
agnico	ˈæɡnɪˌkoʊ
agnor	ˈæɡnər
agnos	ˈæɡnoʊs
agnosio	æɡˈnoʊsiːoʊ
agnostic	æɡˈnɑːstɪk
agnostically	æɡˈnɑːstɪˌkliː
agnostics	æɡˈnɑːstɪks
ago	əˈɡoʊ
agog	əˈɡɑːɡ
agoglia	əˈɡɑːɡliːə
agonies	ˈæɡəniːz
agonist	ˈæɡənɪst
agonists	ˈæɡənɪsts
agonize	ˈæɡəˌnaɪz
agonized	ˈæɡəˌnaɪzd
agonizes	ˈæɡəˌnaɪzɪz
agonizing	ˈæɡənaɪzɪŋ
